ID,2_1a,Quant,R3_2,R3_3,R3_4,R4_2,R4_3,R4_4,R5_2,R5_3,R5_4,R6_2,R6_3,R6_4,R7_2,R7_3,R7_4,R8_2,R8_3,R8_4,R9_2,R9_3,R9_4,R10_2,R10_3,R10_4,R11_2,R11_3,R11_4,R12_2,R12_3,R12_4,R13_2,R13_3,R13_4,R14_2,R14_3,R14_4,R15_2,R15_3,R15_4,R16_2,R16_3,R16_4,R17_2,R17_3,R17_4,Career,US
R_2zuOulzgDAoZvCq,Yes,1,20,1,1,10,1,1,10,1,1,30,1,1,10,1,1,20,1,1,30,1,1,10,1,1,40,1,1,30,1,1,40,1,1,10,1,1,10,1,1,40,1,1,10,1,1,Early,0
R_cSUt6hDo0zULBWp,Yes,1,40,3,1,30,1,1,40,2,2,40,1,1,40,1,2,20,1,1,10,1,1,70,3,2,20,1,1,50,1,1,10,1,3,30,1,1,10,1,4,20,1,1,40,4,3,Early,0
R_2EymoBNYRDPVs6U,Yes,1,50,1,1,60,1,1,80,1,1,50,4,4,60,1,1,60,1,1,80,1,1,40,1,1,90,1,1,60,1,1,10,1,4,20,3,4,20,3,3,0,1,3,20,1,3,Early,0
R_0MxPzN74JEj878B,Yes,1,20,3,2,40,2,2,50,1,2,90,4,3,60,1,2,60,2,2,50,4,3,50,3,2,70,2,1,20,3,3,20,3,2,70,4,4,30,3,3,40,1,2,70,5,4,Early,0
R_3jdMtpP4Xk3QPlp,Yes,1,50,1,1,50,1,1,80,2,2,70,5,4,50,1,1,50,1,1,10,1,1,80,1,1,80,1,1,50,3,2,20,1,1,10,1,1,50,1,3,30,1,3,50,1,2,Early,1
R_1IpaK0tdHzlZhf9,Yes,1,60,1,1,40,2,1,60,3,2,80,3,2,20,1,1,10,1,1,10,1,1,50,2,2,60,1,1,50,1,1,10,1,3,20,1,3,20,3,3,10,1,3,30,2,3,Early,1
R_2BgQUO9MkwXqgkd,Yes,1,,,,,,,,,,,,,100,3,2,,,,,,,70,1,2,,,,,,,,,,,,,,,,,,,90,3,2,Early,0
R_21AI9gzM7pJu6w8,Yes,1,50,3,2,20,1,2,30,1,2,50,3,2,40,1,1,10,1,1,10,1,2,50,3,2,40,1,,10,1,1,,,,50,1,3,60,1,4,20,1,2,10,1,2,Early,1
R_25tNDSUNlnQeUrt,Yes,1,60,3,2,30,1,1,40,3,4,30,1,2,70,4,3,10,1,1,80,1,3,30,1,1,20,1,1,30,1,1,70,3,3,30,1,3,40,4,4,30,2,3,50,2,3,Early,1
R_1rjhkYohCC4G5Pc,Yes,1,80,3,1,20,1,1,40,2,1,90,3,2,10,1,1,50,1,1,50,3,2,80,4,2,60,3,1,40,2,1,10,1,4,10,3,4,10,2,4,90,4,3,80,4,3,Early,0
R_21n4KUb2rImTSrD,Yes,1,70,3,2,50,3,2,40,3,1,100,4,3,10,1,1,60,3,2,20,1,2,90,3,3,40,3,2,0,1,1,100,2,2,90,3,4,50,1,4,40,1,3,90,3,4,Early,1
R_2CVpwlAHndFYwE1,Yes,1,70,1,1,90,5,4,30,1,1,70,3,2,80,1,2,40,1,1,20,1,2,70,1,1,60,1,1,30,1,1,20,1,2,10,1,4,30,4,4,20,3,3,80,5,4,Early,1
R_1IuuvgqdWUV2j4o,Yes,1,80,1,2,30,1,1,10,1,1,80,3,2,10,1,1,10,1,1,20,1,2,30,1,2,60,3,2,10,1,1,20,1,3,30,1,4,50,4,4,30,1,4,20,1,1,Early,1
R_eVVpAhW5Hcc2KC5,Yes,1,80,2,2,80,1,3,10,1,1,10,1,1,,4,4,80,1,1,20,1,1,20,1,1,70,1,1,60,1,1,10,1,3,10,1,2,30,1,2,20,2,3,30,1,2,Early,1
R_2WYXP8SAHPhRWhD,Yes,1,40,1,1,30,3,2,40,1,1,50,1,1,20,1,2,10,1,1,20,1,1,30,1,1,20,1,1,10,1,1,10,1,2,10,1,3,20,3,3,10,1,3,60,3,3,Early,1
R_yIJ6iLKYyhj4KSB,Yes,1,0,1,1,0,1,1,10,3,3,10,3,3,20,3,3,10,3,4,20,5,4,10,1,1,10,1,1,0,1,1,0,1,1,10,3,4,10,1,2,0,1,2,10,1,2,Early,0
R_2f1amyDUkhzZkWu,Yes,1,50,3,2,40,1,1,20,3,2,60,3,2,30,1,1,60,2,2,30,1,2,40,2,2,40,4,3,40,3,2,50,3,2,40,2,3,30,2,3,40,3,2,20,1,2,Early,0
R_2B2HPWRE7YQ9bsA,Yes,1,60,1,2,30,1,2,60,2,3,50,1,2,10,1,1,20,1,1,20,1,1,60,1,2,40,1,1,30,1,1,10,1,3,20,1,3,10,1,3,30,1,3,50,3,4,Early,1
R_1FlsZAbdxyqT2F3,Yes,1,60,3,2,70,3,2,50,1,1,90,3,,50,1,1,20,1,1,50,1,2,40,3,2,70,1,1,20,1,1,20,4,3,10,1,3,30,1,3,20,1,3,40,3,4,Early,1
R_3RvUFwXf3sDZbAb,Yes,1,40,2,1,40,1,1,20,1,1,80,3,1,20,1,1,10,1,1,20,1,1,30,1,2,30,2,1,10,1,1,20,5,4,20,5,4,50,5,4,20,2,3,70,3,4,Early,1
R_3dXoWTbnyA9AsIu,Yes,1,70,1,2,80,1,1,80,2,1,100,2,2,40,1,2,80,1,1,90,2,1,70,1,3,60,1,1,30,1,1,10,3,3,20,5,4,10,5,4,10,2,3,70,5,4,Early,0
R_3QEKAqEMS0INgRL,Yes,1,100,3,2,10,1,1,30,1,2,20,1,1,20,1,1,20,1,1,20,1,2,20,1,2,20,1,1,10,1,1,10,1,3,10,1,3,10,1,3,10,2,3,20,3,3,Early,1
R_2uUSBzn3bWG40e8,Yes,1,30,1,1,70,1,,20,1,1,60,2,2,20,1,1,10,1,1,20,1,1,30,1,1,10,1,1,10,1,1,10,1,3,30,1,3,30,1,3,30,1,3,70,3,3,Early,1
R_2wi97WW9Iy6ovoj,Yes,1,90,3,1,20,1,1,80,1,1,100,3,1,50,1,1,30,1,1,10,1,1,90,2,1,50,1,1,20,1,1,10,1,4,20,1,4,30,3,4,20,2,3,50,4,4,Early,1
R_2f9xYjZhaC8OJew,Yes,1,50,2,1,20,1,1,80,2,1,60,2,1,60,1,2,60,1,1,40,1,1,80,3,2,20,1,1,10,1,1,50,4,3,30,3,4,30,3,4,20,3,3,80,2,4,Early,0
R_1pA8pB8NjCQYvyi,Yes,1,50,2,2,70,3,2,90,4,3,90,4,3,100,4,3,50,1,1,20,1,2,70,3,2,30,1,1,10,1,1,20,1,3,20,1,4,20,2,4,60,3,3,50,3,4,Early,1
R_3JfHP4990YtJNk9,Yes,1,50,3,1,10,1,1,70,4,3,90,4,2,0,1,1,30,2,1,30,1,3,30,2,2,20,1,1,0,1,1,10,2,2,10,1,4,10,1,4,30,3,3,60,4,2,Early,0
R_2YrDVdEtAbOOfxY,Yes,1,90,3,2,50,1,1,30,1,1,90,3,1,20,1,1,70,3,1,60,1,2,90,3,2,20,1,1,10,1,1,10,3,3,10,3,4,30,4,4,20,3,4,20,3,3,Early,1
R_XNyt15p9z6JJygh,Yes,1,80,1,1,70,1,1,90,1,1,30,3,2,80,1,1,70,1,2,60,1,1,80,3,1,100,1,1,40,1,1,20,4,4,10,4,4,10,4,4,10,3,3,10,4,4,Early,1
R_1mC8LL0sO1lBZlo,"No, my research is qualitative, descriptive, single-case design, case studies, and/or theoretical or position-pieces",0,,,,,,,50,3,3,50,3,3,,,,,,,,,,,,,70,3,2,40,2,1,50,3,2,50,3,2,30,1,3,50,3,3,60,3,3,Early,0
R_3G6UMJ9afZhnRrv,Yes,1,80,3,2,70,3,3,100,4,3,90,4,3,20,1,2,40,1,1,30,1,3,20,1,2,10,1,1,10,1,1,10,1,2,10,1,3,10,1,3,10,1,2,90,5,4,Early,1
R_3g8fyudHUz1Gv4k,Yes,1,50,5,4,,,,20,1,1,,,,90,5,3,100,3,,0,1,1,10,1,1,10,1,1,0,1,1,90,5,3,10,3,3,50,5,3,,2,3,70,4,3,Early,1
R_1kYPEWw5UpWtUbO,Yes,1,60,3,2,60,3,2,30,3,3,80,4,3,30,1,1,40,1,2,70,3,3,70,3,2,30,1,2,20,1,1,60,4,3,30,3,2,40,3,3,40,1,,50,3,3,Early,1
