"ID","A1_1","A1_2","B1","C1_1","C1_2","C1_3","A2_1","A2_2","B2","C2_1","C2_2","C2_3","A3_1","A3_2","B3","C3_1","C3_2","C3_3","A4_1","A4_2","B4","C4_1","C4_2","C4_3","A5_1","A5_2","B5","C5_1","C5_2","C5_3","A6_1","A6_2","B6","C6_1","C6_2","C6_3","A7_1","A7_2","B7","C7_1","C7_2","C7_3","A8_1","A8_2","B8","C8_1","C8_2","C8_3","A9_1","A9_2","B9","C9_1","C9_2","C9_3","A10_1","A10_2","B10","C10_1","C10_2","C10_3","doubt_other_inst","doubt_same_inst","doubt_students","doubt_yourself","main_area","area_other","do_research","funding","funding_5_years","observation","experiment","modelling","survey","method_other","method_other_descript","clinic","lab","field","location_other","location_other_descript","institution_priority","institution_type","position","position_other","higher_degree","sex","skin_colour","age","brazilian","other_nation","other_nation_descript","country_higher_degree","suggestions"
1,100,100,1,3,"O termo funciona com aspas é ambiguo. Logo todo pesquisador publica o que funciona.",NA,5,5,2,NA,NA,NA,5,2,2,NA,NA,NA,28,10,2,NA,NA,NA,24,4,2,NA,NA,NA,34,17,1,3,"A escrita do artigo não segue a cronologia do pensamento do pesquisado. São duas coisas distintas.",NA,5,1,2,NA,NA,NA,35,18,2,NA,NA,NA,10,44,2,NA,NA,NA,4,73,2,NA,NA,NA,"Occasionally","Occasionally","Occasionally","Never","Social",NA,"Yes","Yes","Yes","No","Yes","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Adjunct professor",NA,"Doctorate","Male","Parda",35,"Yes","No",NA,"Brasil","Há professores em mais de uma instituição e há perguntas onde a proposição de resposta não se adeque.  Ao perguntar, por exemplo, proporção de pesquisadores que escondem uma VD em algum artigo, necessariamente o percentual será pequeno já que pouquíssimos trabalham com experimentos. Seria melhor perguntar  dentre os pesquisadores que realizam experimentos... .  "
2,70,85,2,NA,NA,NA,30,30,2,NA,NA,NA,40,41,2,NA,NA,NA,10,10,2,NA,NA,NA,57,70,2,NA,NA,NA,86,61,2,NA,NA,NA,3,3,2,NA,NA,NA,4,4,2,NA,NA,NA,43,38,2,NA,NA,NA,30,29,2,NA,NA,NA,"Once or twice","Occasionally","Never","Never","Clinical",NA,"Yes","No","No","No","No","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Private","Graduate student",NA,"Doctorate","Male","Parda",34,"Yes","No",NA,"Brasil",NA
6,90,50,1,2,"Fiquei na duvida quanto à questão, se esta se referindo aos estudos que cito como embasamento para o meu trabalho (que na maioria das vezes reportam resultados do que deu certo), ou se é sobre que tipo de resultado coloco nos meus artigos. De forma predominante eu apresento os resultados significativos, pois em geral há um limite de páginas nos artigos e não se pode relatar tudo. Busco sempre citar as limitações do estudo nas considerações finais. Penso que os resultados com significancia estatistica são mais importantes de serem relatados. Mas também já relatei hipóteses não confirmadas, embora com menos frequencia.",NA,80,10,1,2,"Novamente acho a questão dificil de responder. Tenho dificuldades para estimar o quanto os pesquisadores fazem isso mas é muito comum não se encontrar nos estudos a descrição sobre como os dados foram coletados, participantes que desistiram de participar, e outras dificuldades encontradas. Quanto aos meus trabalhos, procuro sempre incluir nos procedimentos metodologicos as condições de coletas, mas de fato as vezes há detalhes que são dificeis de relatar. Por ex. se é uma pesquisa com amostras de estudantes, se numa escola foi a diretora que escolheu a turma, em outra foi por conveniencia pois a turma estava sem professor no dia, ou se em outra escola só tinha uma turma , são detalhes que nao se consegue incluir num artigo. No final é só descrito o total de participantes, o total de escolas envolvidas, mas nao especificamente como as turmas foram selecionadas. Também dificilmente se relata o numero de participantes que olharam o instrumento e acabaram desistindo de preencher! Por isso coloquei minha resposta como sim, pois nem sempre se consegue descreve tudo que aconteceu )novamente um dos grandes problemas é a limitação do tamanho dos artigos nos periodicos)",NA,80,10,1,2,"Muitas vezes se começa um estudo com um numero determinado de variaveis dependentes mas ao se coletar ou analisar os dados se observa que o instrumento teve problemas, ou que não ha consistencia interna, ou que as pessoas deixaram muitos itens em branco, ou que uma variável nao apresentou absolutamente nenhuma relação com as demais, e pode-se exclui-la para relatar o resultados mais significativos. De qq forma, nesses casos, penso que se deve fazer referencia ao problema encontrado nas considerações finais, de forma que se possa aletar pesquisadores que venham a trabalhar com essa variavel.",NA,40,20,2,NA,NA,NA,30,1,2,NA,NA,NA,5,0,2,NA,NA,NA,10,0,2,NA,NA,NA,50,21,1,3,NA,"Ja houve situações em que foi necessário excluir outliners",90,41,1,3,"Muitas vezes em tabelas se usa apenas o *<0,05 ou **p<0,01 ou *** p<0,001, e dessa forma se deixa de informar o p exato. Penso que isso tem a ver com o modo que as revistas sugerem que os resultados sejam apresentados.",NA,30,0,2,NA,NA,NA,"Once or twice","Once or twice","Occasionally","Never","Development",NA,"Yes","Yes","Yes","No","No","No","Yes",1,"estudos de caso","No","No","Yes","Yes","hospitais, escolas, instituições","Research","Public","Associate professor",NA,"Doctorate","Female","White",56,"Yes","No",NA,"Brasil","Acho realmente muito dificil estimar o que outros pesquisadores fazem pois não se conhece todas as realidades do país, e nem mesmo na propria instituição. Sobre alguns aspectos se houve comentários e discussões, mas sobre outros não. Então acho mais facil dizer o que a gente mesmo faz. Não acredito que minhas estimativas sejam corretas, são apenas estimativas."
7,80,10,2,NA,NA,NA,10,90,2,NA,NA,NA,10,90,2,NA,NA,NA,25,90,2,NA,NA,NA,70,90,1,3,"Aconteceu com uma amostra que calculamos para alcançar certo poder estatístico, mas temos experiência que alguns aumentos de tamanho amostral em estudos de percepção visual não são significativos a partir de certos tamanhos, p.ex., usualmente ao chegarmos a 10 participantes em cada grupo experimental, qualquer aumento nesta amostra não introduz mais variância significativa.",NA,35,10,2,NA,NA,NA,15,0,2,NA,NA,NA,30,0,2,NA,NA,NA,95,100,1,3,"Na época, não havia indicações para que fizéssemos diferente, dado que são pontos de corte de significância estatística. Atualmente tem-se um entendimento diferente, de que nem este nível de significância seja suficiente para determinar as conclusões a partir dos dados.",NA,65,13,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","Cognitive",NA,"Yes","No","No","No","Yes","No","No",0,NA,"No","Yes","Yes","No",NA,"Equal emphasis","Public","Associate professor",NA,"Doctorate","Male","Yellow",40,"Yes","No",NA,"Brasil",NA
8,85,85,1,2,NA,NA,30,30,2,NA,NA,NA,50,50,2,NA,NA,NA,70,70,1,3,"Para aumentar a representatividade em relação a população pesquisada.",NA,20,20,2,NA,NA,NA,40,40,2,NA,NA,NA,20,20,2,NA,NA,NA,40,40,2,NA,NA,NA,60,60,2,NA,NA,NA,60,60,2,NA,NA,NA,"Once or twice","Once or twice","Once or twice","Never","other","História da Psicologia","No","No","No","No","No","No","No",1,"Historiográfica","No","No","No","Yes","documental; arquivos","Teaching","Private","Graduate student",NA,"Masters","Female","White",54,"Yes","No",NA,"Brasil",NA
10,90,90,1,2,"porque ao reportar o que não funciona e porque algumas revistas nacionais e praticamente todas internacionais recomendaram retirar do texto e listar apenas as limitações",NA,50,50,2,NA,NA,NA,10,10,2,NA,NA,NA,10,10,2,NA,NA,NA,10,10,2,NA,NA,NA,50,50,1,3,"Muda totalmente a interpretação dos resultados e a discussão teórica e ou metodológica, dependendo do achado",NA,0,0,2,NA,NA,NA,10,10,2,NA,NA,NA,1,1,2,NA,NA,NA,1,1,2,NA,NA,NA,"Never","Never","Never","Never","Development",NA,"Yes","Yes","Yes","Yes","Yes","No","Yes",0,NA,"No","No","Yes","No",NA,"Equal emphasis","Public","Emeritus professor",NA,"Doctorate","Female","White",57,"Yes","No",NA,"Brasil EUA","Muitas perguntas exigem  achismo , não há como saber a resposta"
11,50,5,2,NA,NA,NA,61,15,2,NA,NA,NA,70,33,1,3,"Porque o estudo pode tratar de outras variáveis que não interessam diretamente o pesquisador naquilo que está fazendo, e que não tem relevância no resultado final.",NA,50,48,2,NA,NA,NA,42,17,2,NA,NA,NA,62,25,2,NA,NA,NA,12,1,2,NA,NA,NA,74,53,1,2,NA,"Porque, ao analisar os resultados e revisar melhor a literatura, de fato se percebeu que aquela variável não tinha relevância, como de fato se mostrou nos dados.",71,36,2,NA,NA,NA,29,3,2,NA,NA,NA,"Once or twice","Never","Once or twice","Never","Clinical",NA,"Yes","Yes","Yes","Yes","No","No","Yes",1,"qualitativa","Yes","No","Yes","No",NA,"Equal emphasis","Private","Adjunct professor",NA,"Doctorate","Female","White",40,"Yes","No",NA,"Europa","Gostaria que os resultados fossem divulgados e popularizados"
13,44,44,2,NA,NA,NA,83,27,1,2,NA,NA,70,30,1,1,NA,NA,70,30,2,NA,NA,NA,85,15,2,NA,NA,NA,85,15,2,NA,NA,NA,60,40,2,NA,NA,NA,80,20,2,NA,NA,NA,52,29,2,NA,NA,NA,67,45,1,3,NA,NA,"Occasionally","Occasionally","Occasionally","Occasionally","Clinical",NA,"Yes","No","No","No","No","No","Yes",0,NA,"Yes","No","No","No",NA,"Equal emphasis","Private","other",NA,"Undergraduate","Male","White",28,"Yes","No",NA,"Brasil",NA
19,80,100,1,3,"Dados da minha pesquisa corroboraram minhas hipóteses",NA,85,100,2,NA,NA,NA,86,100,2,NA,NA,NA,100,100,2,NA,NA,NA,70,100,2,NA,NA,NA,30,100,2,NA,NA,NA,50,100,2,NA,NA,NA,74,100,2,NA,NA,NA,50,100,2,NA,NA,NA,60,100,2,NA,NA,NA,"Often","Occasionally","Occasionally","Occasionally","Clinical",NA,"Yes","No","Yes","No","Yes","No","No",0,NA,"Yes","No","No","No",NA,"Equal emphasis","Public","Graduate student",NA,"Masters","Female","White",32,"Yes","No",NA,"Brasil",NA
21,20,10,2,NA,NA,NA,5,53,2,NA,NA,NA,60,80,2,NA,NA,NA,50,67,2,NA,NA,NA,47,48,2,NA,NA,NA,85,86,2,NA,NA,NA,10,5,2,NA,NA,NA,69,53,1,2,NA,"Estou entendendo  excluir os dados  como não apresentá-los no relatório final. Assim, dados que não parecerem informar nada de útil foram  excluídos  nesse sentido.",10,88,2,NA,NA,NA,76,85,2,NA,NA,NA,"Once or twice","Once or twice","Never","Once or twice","Behavior Analysis",NA,"Yes","No","No","Yes","Yes","No","Yes",0,NA,"No","Yes","Yes","No",NA,"Teaching","Public","Adjunct professor",NA,"Doctorate","Male","White",35,"Yes","No",NA,"Brasil","Tive muitas dúvidas sobre a definição precisa das práticas sobre as quais se estava perguntando. Muitas delas poderiam ter sua definição explicitada."
