"","QRP1","QRP2","QRP3","QRP4","QRP5","QRP6","QRP7","QRP8","QRP9","QRP10","QRPgeneral"
"1","'Negative' or non significant results are extremely important to report. I always do it, as they can have positive outcomes of course. "," ","'unlikely' results increase likelihood of reporting false positives (especially when testing many factors). On the other hand, not every unexpected result is equally unlikely","--"," Percision is important, if your data are at .054, that's what you should say. It is up to the reader to decide if those results are significant enough ","--","--","--","--","--","--"
"2"," I think it should depend on the amount of data. E.g., if I study a geographic body size variation with a small number of study populations and reveal a converse Bergmann's pattern with p&lt;0.01, then I have reasons to publish this report. In contrast, if I got a poor pattern (p=0.8), then I only publish it if my data set is really profound."," Sometimes it is truly a relevant perhaps is OK but are usually other covariate should be listed as being nonsignificant to provide a fuller picture of the data. ","--"," If different ways of analyzing the data give the same result, I don't see the need to report all the different ways.  /  / But I'm not sure I understand the question."," The p value is just an arbitrary setting or cut-off, but is better to provide the exact value."," Can exclude data points, but you have to report that that's what you've done and that you checked their impact "," "," / I think it's fine to do this if the motivating reason is that you realize that you mistakenly selected an inappropriate or weakly powered statistical test in the first place and there are clear principles dictating why the initial test was bound to be weakly powered. It's inappropriate if you are just ""shopping around""."," / Non-disclosure of known problems in the method and analysis, or problems with the data quality, that potentially impact conclusions is a bad idea all around. Personally, I have trouble understanding why anyone would want to do that. Maybe it might have some short-term ""benefit"", but it's a bad idea long-term, because you will likely turn out to have been wrong, which serves no one's interests."," / Ugh, that's repugnant.","A good way to advance science is to increase transparency. All my answers to your questions could be summarized by this: ""I think that these practices should never be applied because they decrease transparency, and reduces the capacity of the readers to interpret and to agree with (or not) your results and conclusions."" / Early students are not aware many times that some of these practices are misconduct (some more, others less), and they discover latter that they are. Remember that when you are young, your superviser is your idol (like kids think about their parents). So, it is easy to learn wrong things in the beginning of the carrier, if you enter a wrong lab. Informing and discussing with our students is key to have a better science."
"3"," Just report what you found "," We use model selection, we report all variables that were considered, present the AIC results for the top models.  People can then see which variables were included or excluded from the best models"," I think it is more ethical to report it as unexpected rather than expected if that is the truth "," There are cases where this may be appropriate however again if you in anyway I have been trying to mess with the statistics in order to find significance, it's important to report as models it didn't work. ","""Below 0.5"" means below. 0.0501 is still above 0.5.","."," / It really should only be performed in a clear ""pilot"" vs. ""final"" experiment setting, where there isn't enough information for quantitative experimental design without doing a pilot study, and the pilot study is used to give some impression of the sample size necessary for the final study—_and_ whether the effect size might be large enough to warrant the larger effort. /  / "," / It is possible that the ""lack of significance"" results from a misspecified analysis or model. / This should be used always in cases when the first model or analysis does not meet assumptions (error structure, normality assumptions, gaussian-poisson, ) / If the assumptions are met, there shouldn't be no reason to conduct alternative analysis. /  / Nowadays, there can be still several models to be compared , and diagnostic analyses and information criteria can be used to choose the correct analysis. "," I hope people don't do that...but I have heard stories of people doing it (trivialization of problems). I think people either justify problems as 'standard' (e.g. challenges in taking data in the field), or perhaps just don't know what the problems may be with their methods (I guess this falls under the domain of 'unknown problems'). I always feel that a good discussion section is needed to temper interpretations of results. I know that in most fields, there is great discussion about appropriate methods and biases, but these arguments can be hard to follow for less experienced researchers."," Well it may be acceptable to fill in missing data points, these practices must be reported. Again honesty about your research ","A lot of ecologists at broad scales (communities, ecosystems, macroecology) won't identify with many of these questions because there is minimal emphasis on p-values and statistical significance in these fields. Also, most studies at these scales are exploratory due to the scales and difficulties of data collection."
"4","(I would have preferred to click on ""not that I am aware of"".) Simmons et al. call this ""experimentor degrees of freedom"" to indicate how much leeway the analyst has used. Without knowing how many options were tested, the correct significance level cannot be assessed. / In my opinion the problem lies slightly earlier, namely in starting the analysis without pre-specifying one or two hypotheses to test. Do these models, and don't try anything else. / Or, if you are into ""exploratory data analysis"", never report p-values or hypotheses tests (you cannot derive a hypothesis and test it on the same data).","1. Ideally, the reader should be able to assess the total number of tests performed in order to be able to judge the number of ""significant"" results expected by chance. In practice, this is often difficult to achieve, especially for long-term datasets that are analysed by a set of people or that have already been analysed in the past. To my mind it should at least be a goal of the researcher to report all tests. / 2. In the context of meta-analyses, non-significant effect sizes are just as important as significant effect sizes.","1. I have no idea what proportion of my colleagues do this. / 2. Pretending one predicted an unexpected result is a tiresome form of self-promotion which, most undesirably, deprecates the importance of surprise in science, which unexpectedness is the real reason for doing science.","A common error by graduate students and post-docs. To the extent that it happens, better mentoring is required.","""Rounding"" of this kind shouldn't be used. If your threshold is 0.5, 0.54 is above the threshold. However, researchers should also be careful to report p values to only the number of significant digits they have. If they only have one significant digit, then a calculation that determines the p-value to be 0.054385783 should be reported as 0.05. This is not ""rounding"" per se, although you do have to round as part of the process, but it is more importantly reporting values to the correct number of significant digits.","A careful examination of outliers, eventually folllowed by its exclusion of the analysis, is part of good practice in statistics. It should however be well documented."," / When no idea on the variance of the trait measured"," I think it's acceptable to find the most appropriate statistics for your data, but you should report this other statistics failed to show significance, especially if they are more appropriate for the data you have "," It should always be clear whether there are data quality problems.","Aaaa never! I especially hope no one does this. This strikes me as in a different league from your other questions so far.","After looking through the questions in this survey, I have decided to decline to answer it. As a scientist, I don't form opinions based on ""belief"". I use facts and reasoning. On principle, I think asking scientists what they ""believe"" to be happening in their research field - in the absence of any actual data - is poor form, and I don't think it should be encouraged in any way. On top of that, you are asking a series of highly leading questions about obviously dubious scientific practices. The chances of gaining honest answers given the way these questions are framed are not good. I wouldn't have any confidence in the answers. Frankly this reminds me of the sort of survey one hands out to students as a test of knowledge. It's a bit patronizing. "
"5","[answer as for covariates]","A non-significant covariate is easy to mention in passing, and will not likely hinder publication. At the same time, some covariated measured 'just in case' have sometimes not much to do with the study in the final paper and can be dropped without second thoughts.","2020 hindsight is a wonderful thing (sic) / Unexpected is new and exciting ","Again it is cherry picking results to only report those results that fit in a story.",".05 implies less than or equal to .05, not rounded down to .05","Again, cherry picking. One thing is to remove typos, another is to remove true outliers to get a larger R2."," Sometimes  an increase in sample size is what you need  not just for statistical significance but to get a better picture of your population ","(see previous comments) in ecological studies, covariants may deluge the main effects of tested variables and therefore their inclusion to models is reasonable (and it may be hard to plan in advance, especially when using large datasets from wide geographic distribution) ","A clear description of the data and analyses is key to making these contributions meaningful to others.","Absolutely unethical!","Again, choice of answers is too limited. Most of the time, I simply do not know the answer and having to choose one feels like presenting a false scientific result. Honestly I would not put give much credit to a survey like this."
"6","A covariate is a variable, so I'm not clear how this question is different from the last. My answer is the same.","Again - this stops the data being synthesised. STOP IT.","A lot of the data we collect could be used to test multiple hypotheses, and we often take data on variables other than our main responses (especially in field experiments/observations), because they're really time consuming to construct, so we try to get the most out of them. I see no problem with returning to the literature when your pet hypotheses proves not to be what's going on, to try to understand what you're missing and how you might expand your hypothesis, or test other hypotheses with your data. Again, though (and this goes back to the null results question), it would be nice if we were a bit more transparent about this process and had a centralized place to report null results, such that, in a manuscript about a different hypothesis, we could acknowledge that we initially set out to test something else but didn't see anything in a succinct way. ","Again this question is a bit ambiguous. I think this practice is common in cases where a lot of exploratory analysis is performed before settling on a final statistical analysis approach. Indeed, this is necessary in many subfields (e.g. ecological genomics) where new datatypes require trialling a lot of different analysis software or developing new approaches. I have done this myself, however I have never explicitly stated ""the statistical models reported in this manuscript were the only statistical models that were used at any point"" (and would not do this). However maybe it is a specific kind of analysis (e.g. model comparison) that you intend to ask about here...","0.05 or 0.01 are arbitrary thresholds. A p = 0.013 should be openly communicated and subsequently regarded for its proper significance by peers, and not just as a value above threshold ","Again, it is a matter of choice and what you want to achieve with your model. I've never had to remove any outliers, so I don't know. I believe looking at the data points is the best way to understand your data. More so than the models","... should be used often if - and only if - the additional data serve as a replication and are (also) analysed separately from the first dataset. Should not never be used to ""make the data seignificant"" (e.g. collect data until the result gets significant).","A robust relationship would be largely insensitive to the type of analysis used. Cherry picking models for significance is unethical and increases the chance of Type I error / ","A full disclosure of study weaknesses is one of the most important aspects of the discussion section of a research paper. It helps make more informed conclusions on often-noisy ecological data.","Again the contributions of a particular research project only have value insofar as they are trustworthy.","All practices surveyed were dubious practices. To get a clearer and more balanced response, would it have helped to include practices that should be encouraged (e.g., meta-analysis, etc)?"
"7","A non-significant result is a result.","Again it depends on the a priori questions, and one's theoretical understanding.  If the analysis is exploratory, I think some form of model reduction is justifiable, especially if the data is observational. On the other hand if the data come from a manipulative experiment, and the covariate was chosen a priori based on theory, it is critical to leave it in the analysis. ","A prior hypothesis is always necessary for good science. However, if all findings were expected then why do the science in the first place. What a good scientist will do however is not lean too heavily on conclusions that arise as a side analysis, and push for more testing in future.","Again, a difficult situation.  What I would do for a design experiment would be to think carefully about the model BEFORE analysing the data.  Then I would analyse the data with a small set of models (maybe just one) and report that. /  / However, for prediction and hypothesis generating (exploratory) studies, I would probably be much more liberal.  I would plot data, fit a series of smaller (e.g. univariate in multivariate situations), and use the data to help define the model.  These are all types of analyses, but I would almost certainly not report them all (there is not enough space).  I would say/write though that this is not a formal hypothesis testing framework and that the results here may not be generalisable to other data sets.","0.054 or 0.05 is the same level of Pvalue, low but not very significant. There is just no reason for not reporting 0.054 stated as marginally significant (more generally, the exact value with 3 digits)","Again, it should only be used when, after the test some awkward result was detected and proved to be wrong.","A common problem in evolutionary biology, where the sample size is usually the number of species, is that there are too few species measured to answer the question; the methods are rarely powerful enough to provide meaningful statistical tests with fewer than 20 species but you might have measured only 20. Rather than conclude that some factor has no effect, it is better to increase the sample size and conduct a more rigorous test.","A statistical test should be chosen according to its appropriateness for the question and data, not because it gives the desired results. However, there are cases where several test - each with their own limitations and assumptions - are appropriated. Here, tests could be compared and if one shows significant results where another doesn't, both should be reported and discussed.","After reading about scientific misconducts, I realized that this is a non-ethical practice. It should never been used because the readers do not know whether the hiding problems are big enough to compromise the conclusions. Again, transparence is necessary in this respect and no paper would be hurt by clearly stating the problems that appeared during the development of the work.","Again, anything that may change the strength or the interpretation of the data needs to be disclosed to the reader. In this case filling in missing values at least influences the ""real"" sample size and thus impact of the study.","Am looking forward to the results.  Please circulate to all participants/original mailing list."
"8","A non-significant result is often just as important for hypothesis testing, however sometimes for the sake of brevity not all variables need to be reported on.","Again the proper question should be under what circumstances is it OK not to report all the possible covariates that were analyzed.  Sometimes scientists load up regression analyses with a huge number of possible factors, most of which are suspected to be unimportant.  Listing them all may be unecessary, depending on context.","A research project changes a lot from conception to publishing. The final aim is to write a clear paper interpreting the results that you obtained, acknowledging those that are unexpected as such. ","Again, a tough question to answer. Occasionally, we will do some preliminary analyses that we acknowledge in the text and often show in appendices, if allowed, to determine appropriate structures of nuisance parameters, or we may to some exploratory analysis to determine what level of model complexity can be supported by the data - again acknowledging this practice in the text. What we've never done is run an analysis and eliminate factors from consideration because they didn't give us the results we were expecting. I hope that answers your question.","A cutoff is a cutoff. Although statistically there is not much difference between 0.05 and 0.053, for example, (the cutoff is aritrary in this way), since it is an established cutoff, rounding values to fit this cutoff feels dishonest. ","All data should be included and reasons to exclude data clearly stated. It can be relevant sometimes, in order to meet applicability criteria of some tests. However, it should be a last resort.","A lack of data can easily cause results not to be significant. While significance should not be used as the main criteria, additional data can often help decide whether a results is significant or not.","A statistical test should be dictated by the data characteristics and not by the outcome","again a problem of reviewer bias, people want easy reads","Also basically research fraud, especially if its an outcome you're ""simulating"". ","Am sending a copy of this URL to a statistical ecologist colleague of mine."
"9","A non significant result is still meaningful. If you thought something was worth testing, then it's non significance is still an important finding  / ","Again, another tough one.  If a covariate was planned into the study then I think it should never be omited from the model.  But if a research just wants to see if a covariate could have an effect (but is unsure if it really does) then researchers often test it, see its not predictive and discard it, and in this case I think it's okay. ","A researcher should be open if post hoc analyses were done or post hoc hypotheses were added to the problem.","Again, all analyses in theory are important. But for the purposes of publication, some may have been needlessly tested and so not warrant inclusion perhaps. ","A p-value of 0.054 does not meet the requirement of p &lt;= 0.05","All decisions about removing outliers should be done follow transparent rules that are decided upon before data analysis.","A valid statistical test can still be devised for this procedure, though whether or not people apply valid statistical tests is another question. /  / Of course, if we do this many times, and apply a one-off statistical test each time, like a regular t-test, then we will obtain many false positives. I believe that is what you are getting at and one should never do that because it is statistically invalid.","Again it depends if it is an experiment or are field data. In experiments, the design and analyses can be decided from the beginning to answer a question, but having field data, sometimes is necessary to perform exploratory statistics, and we can incorporate new environmental or geographical variables, giving us new statistical opportunities and different results focus on different analyses.","Again it depends on the extent and severity of the problem. I think most researchers do not report everything otherwise methods sections would be twice as long. But generally minor issues probably don't impact conclusions, although we cannot be certain. It is good to include problems that might have an effect on conlusions, and i think most researchers, including myself, do.","Always indicate which missing values are imputed.","Are these bad things bad?  Yes."
"10","A nonsignificant result is just as good an answer to a question as a significant result unless statistical power is low.","Again, I'm not quite sure what is meant by ""not reporting covariates"". Is it meant that ""insignificant"" factors that were included in models are somehow hidden? And what is reporting them? I am interpreting this as, not discussing in detail covariates that were not found to be significant, not, like, somehow hiding them.","A well-written and interesting article should tell a clear and logical 'story'.  Sometimes you realize after the fact that you were thinking about your study or problem in the wrong way, leading to incorrect hypotheses.  Or sometimes the most interesting results are the unexpected ones, and then it makes sense to frame the paper around those results.","Again, depends of the framework and epistemological issues","a threshold is a threshold / but normally statitstical softwares take care of this","All the analysis should be done with the raw data by providing the methods and statistics used to simplify or remove variability or other aspects from the raw data.","A waste of resources and intellectually dishonest.","Again no significant effect may only indicate that the model might be wrong or the data is too noisy etc. sometimes more complex models etc. provide other answers. Sometimes it makes sense to dig deeper but often it's indeed a search for low p values","Again, this is misleading and can send other researchers down the wrong track in future studies.","Always report it.","As always, the exact phrasing of the question drives much of the answer. Please note that different respondents will pay more or less attention to the exact phrasing and therefore will interpret it differently. I am particularly worried that results from a survey like this will be reported without appropriate nuance and will be used argue that a field is ""corrupt"" when in fact it is all about honest answering or highly interpreted answering of the nuance of the question."
